파스텔 기본 네일로 하려구요.,パステルのベーシックネイルにしようと思います。
그럼 확인하시고 방문해 주세요.,では、ご確認の上ご来店ください。
고급반 선생님으로 변경 가능할까요?,上級クラスの先生に変更できますか?
다음주 월요일까지 보내는 발주건이요.,来週月曜日までに送る発注の件です。
9시까지 방문 드리겠습니다 감사합니다.,9時までお伺いします、ありがとうございます。
뭐가 감사하다는 걸까요?,どのような事で感謝しているのでしょうか?
그럼 견적서를 보내주시겠어요?,では、見積書を送っていただけますか?
의상 갖고 바로 와주세요 그럼.,衣装をすぐ持ってきてください。
사업자등록증이랑 신분증 가져오셨나요?,事業者登録証と身分証明書をお持ちですか。
설명해주시면 감사하겠습니다.,説明してもらえると助かります。
그럼 다음주 목요일로할께요.,では、来週の木曜日にします。
요즘은 과일 소주가 인기가 많아요.,最近は果実焼酎が人気があります。
내일까지 준비해서 보내드리겠습니다.,明日まで用意してお送りします。
이메일로 첨부해서 보내드리겠습니다~,メールに添付してお送りします~
저희 연구의 결과물 입니다.,私たちの研究の結果物です。
공급가는 개당 70원입니다.,供給価は一個あたり70ウォンです。
"뭐,,네 알겠습니다.",まあ..はい、わかりました。
PPL 맞습니다.,間接広告合ってます。
이게 끝이에요.,これで終わりです。
정말 기술 좋아졌네요.,本当に技術が良くなりましたね。
죄송하지만 이 차종은 흰색보다는 진주펄 색 있습니다.,申し訳ございませんが、この車種は白よりはパールカラーがございます。
그럼 다시 집에가서 가지고올께요.,では、また家に帰って持ってきます。
그럼 나중에 다시 방문해주세요.,では、あとでまたお越しください。
물론이지요 여기 샘플을 가지고 왔습니다.,もちろんです、サンプルをお持ちしました。
그럼 어쩔수없네요 다음에 다시 연락드리겠습니다.,それでは仕方がないですね、また今度ご連絡します。
여기서 장난치시면 안됩니다 신분증 부탁드립니다.,ここでふざけないでください、身分証をお願いします。
이번 소개한 제품은 매우 빠릅니다.,今回に紹介した製品はとても早いです。
일단 저희 책자도 있으니 이거 보면서 상세하게 말씀 드리겠습니다.,一応、弊社のパンフレットもありますので、こちらを見ながら詳しく説明いたします。
그럼 전기차로 보여드릴게요.,では、電気自動車をお見せしましょう。
10분동안 유창하지는 않아도되지만 자유롭게 영어로 대화해주세요.,10分の間、流暢でなくていいですが、自由に英語で会話してください。
무슨 시간 말씀하시나요?,何の時間のことでしょうか。
이벤트 중인가봐요?,イベント中のようですね?
어떻게 보상해주실 건가요?,どうやって報償してもらえますか?
연락 바로 드릴게요.,すぐに連絡します。
식탁을 의뢰하고 싶은데 가능할까요?,食卓を注文したいのですが、可能でしょうか?
1시간 내로 연락 드리겠습니다.,一時間内に連絡いたします。
별도의 창고에 있습니다.,別の倉庫にあります。
어느 정도 있나요?,どのくらいあるんですか?
"마티즈 , 아토즈 같은 그런 경차 신제품 있나요?",マティズやアトスのような軽自動車の中で新商品はありますか?
생각하시고 말씀해 주세요.,考えてからおっしゃってください。
레벨테스트가 필요하겠네요.,レベルテストが必要になりますね。
금방 갔다가 나올게요.,すぐ行ってきます。
그럼 시나리오가 짜여지면 다시 말씀해주시겠어요?,では、シナリオが組まれたら、もう一度おっしゃっていただけますか?
아닙니다 저희 홈페이지에서 기업회원가입하시면 편하게 가능하세요.,いいえ、私どものホームページから企業会員に加入していただければ楽にできます。
그러면 다음 주에 마케팅팀이랑 같이 홍보 아이디어 미팅해봐요.,では、来週マーケティングチームと一緒に広報アイデアの打ち合わせをしてみましょう。
언제까지 기다려야 합니까?,いつまで待てばいいですか。
제가 부른 게 아닌 것 같은데요.,私が呼んだのではないと思います。
오해하게 해드린점 죄송하다는겁니다.,誤解させてしまったことをお詫びします。
네네 아닙니다 수고하세요.,はいはい、そんなことないです、ご苦労さまです。
그럼 중간에 마시는 장면을 넣도록 하죠.,では、途中で飲むシーンを入れることにしましょう。
해결 부탁드려요.,解決をお願いします。
혼란을 드려 죄송하네요.,ご迷惑をおかけしまして申し訳ございません。
그럼 이따가 알려주세요.,では、あとで教えてください。
"천만원대는 몇 대 없는데, 보여드릴게요.",一千万ウォン台はあまりありませんが、お見せいたします。
230 정도는 해 드릴 수 있습니다.,230くらいはできます。
저 차인가요?,あの車ですか?
아하 그렇군요 어떤 번역을 말씀하시나요.,あは、なるほど、どのような翻訳をおっしゃいますか?
원래는 그렇지 않습니다만.,もともとはそうではないのですが。
왜 안 다루는지 알 수 있을까요.,どうして扱っていないのか教えてもらえますか。
언제든지 궁금한 점 문의주세요.,気になるところをいつでもご質問ください。
차종은 아우디 A6입니다.,車種はアウディのA6です。
그러면 전기차 몇 대 보여드리겠습니다.,では、電気自動車をいくつかお見せしましょう。
그래서 저희가 광고를 하고 싶어서요.,それで私たちが広告をしたいんですよ。
상품 리스트 보여 드릴까요?,商品のリストをお見せしましょうか?
간 김에 저희 맥주도 한 잔 하시겠어요?,ついでに私たちのビールも1杯いかがですか?
한국어로 번역하길 원해요.,韓国語に翻訳してほしいです。
내일 10시에 뵙도록 할게요.,明日10時にお会いしましょう。
린넨 섬유 샘플 부탁드려요.,リネン繊維のサンプルをお願いします。
이쪽으로 와 주실래요 저 따라와 주세요.,こちらへ来ていただけますか、私についてきてください。
검색 버튼이 눌리지 않는다는 말씀이시죠?,検索ボタンが押せないということですね?
아하 그렇군요 너무 좋네요.,なるほど、それはとてもいいですね。
우선 무슨기업인지 알려주시겠어요?,まず、何の企業か教えていただけますか?
그러면 메일로 한번 보내주시겠어요?,では、一度メールで送ってもらえますか?
압이 무엇인지 모르겠습니다.,圧とは何かわかりません。
오타가 있었나 봐요.,タイプミスがあったようです。
어떤 소재 보여드릴까요?,どんな素材をお見せしましょうか。
한식 제품 중에 냉동 식품류 괜찮은 게 있나 해서요.,韓国の冷凍食品類の中で良いものがあるかと思いまして。
주문서는 메일로 보내도 되죠?,注文書はメールで送ってもいいですか。
저희 제품 광고 관련이요.,当社の製品の広告についてです。
견적을 뽑아봐야 알수있을거 같은데요.,見積もりを取ってみてからわかると思いますが。
일본어인데 가능하죠?,日本語ですが、できますよね?
저희측에서 부담합니다.,私どもから負担します。
그 기종 부품은 지금 단종됐어요.,その機種の部品は、いま製造中止となっています。
생각보다 싸네요 그럼 그렇게 할게요.,思ったより安いですね、ではそうします。
차 기종을 보내드릴게요.,車の機種をお送りいたします。
그럼 택배로 보내주세요.,それじゃ、宅配便で送ってください。
그럼 주문 신청 할게요.,では、注文をお願いします。
그럼 주문하실 정확한 수량을 알려주세요.,では、ご注文の正確な数量を教えてください。
17인치 알루미늄 휠이죠?,17インチのアルミのホイールですね?
좋은 기능이네요다른 특징은 없나요?,いい機能ですね、他の特徴はありませんか?
공동구매 말씀이신가요?,共同購入のことでしょうか?
품번 아시면 알려주세요.,品番がわかれば教えてください。
모델이 여러개 있나요?,モデルがいくつかあるんですか?
모직 종류의 샘플은 이쪽입니다.,ウールの種類のサンプルはこちらです。
수량은 지난번과 같게해서요.,数量はこの間と同じで。
일단 광고 일정을 확인해보겠습니다.,一応、広告のスケジュールを確認してみます。
배려에 너무 감사합니다.,お心遣いに感謝します。
어떻게 가지고 노는 제품인가요?,どうやって遊ぶものなんですか?
가로 120ml 세로 120ml 로 하고 싶은데.,横120ml、縦120mlにしたいけど。
일단 수입신고필증이 필요합니다.,まず、輸入申告書が必要です。
그냥 10개로요.,適当に十個ください。
배달시킨지 2시간이 지났는데 그냥 환불해주세요.,出前を頼んで2時間が過ぎたのですが、そのまま払い戻ししてください。
자세한 설명을 해주세요.,詳しい説明をしてください。
아이스커피로 부탁드려요.,アイスコーヒーをお願いします。
일단 제가 에릭샘과 통화 해본뒤에 다시 연락드릴게요.,一応僕がエリック・サムと電話してからまたご連絡します。
오디엠 아닌가요?,オーディエムじゃないですか?
러브라인도 있나요?,ラブラインもあるんですか?
시킨 음식이 아니에요~,注文した料理じゃないんです〜
추가요금은 인당 1만원입니다 현장에서 추가요금은 결제 해주시면 됩니다.,追加料金はお一人様1万ウォンです、現場で追加料金はお支払いいただければ結構です。
어떤 부품 필요하신지 수량과 함께 알려주세요.,どんな部品が必要か、数量とともに教えてください。
어떤 콘텐츠들이 있는지 알려주세요.,どんなコンテンツがあるのか教えてください。
기업통장 말씀하시는 거죠?,企業通帳のことですね?
하반기에 오리지널 시리즈 제작 계획이 있으신가요?,下半期にオリジナルシリーズを制作する予定はありますか?
어떤 완구부터 설명 들으시겠어요?,どんな玩具から説明をお聞きになりますか?
화물도 적재해야하니 스타렉스 차량으로 부탁드릴께요.,荷物も積載しなければなりませんので、スタッドレス車両でお願いします。
아침10까지 사무실로 오세요.,朝10時までに事務所へ来てください。
어디서 연락드릴까요?,どこでご連絡致しましょうか?
법인 차량 주문입니다.,社用車の注文です。
홈페이지상에 있는 마이페이지 부분 말입니다.,ホームページ上のマイページ部分ですね。
"그럼, 최소 몇개 제작을 원하시죠?",では、最低いくつ制作をご希望ですか?
기간은 얼마나 걸리까요?,期間はどれくらいかかりますか?
지금 여기있는 색상이 전부입니다.,今、ここにある色が全部です。
제가 보내드린 견적서에 적혀 있습니다.,私がお送りした見積書に書かれています。
이거는 여름용으로 나와서 얇고 비말을 잘 차단합니다.,こちらは夏用として出たもので、薄くて飛沫をよく遮断します。
SUV만 보여주세요.,SUVだけ見せてください。
가능합니다 발주서 주세요.,できます、発注書をください。
한번 봐봐도 괜찮을까요?,一度見てみてもいいですか。
어느 레벨 신청 원하시는건가요?,どのレベルの申請をご希望ですか?
그 나이대 애들이 제일 많이 써요.,その年頃の子供たちが一番多く使います。
다행이네요 오 정말 있네요?,よかったですね、お、本当にありますよね?
그러면 확인해보고 전화드릴게요.,では確認してお電話します。
맨날 기다리기만하고 해결책이 없네요?,いつも待っているだけで解決策がないのですね?
그럼 우선 제가 한번 작동해 보겠습니다.,では、まず私が一度動かしてみます。
다른 차도 볼수있을까요?,ほかの車も見せてもらえますか。
저번에 말씀드린 시제품에 관해서에요.,この前お話しました試作品に関してです。
기다리게 해드려 정말 죄송합니다.,お待たせして申し訳ありません。
마셔도 됩니다.,飲んでもかまいません。
그럼 다른 문의는 없는거죠?,では、他に問い合わせはないのですね?
우선 이 영상을 좀 보시죠.,まずこのビデオをご覧ください。
안쪽에 테이블이 준비되어 있습니다.,奥にテーブルをご用意しております。
시원한 공기도 마시고 커피도 마시고 다시 집중해서 일할 수 있을 것 같아요.,涼しい空気も吸って、コーヒーも飲んで、また集中して働けそうです。
드라마 제작 기획서부터 볼 수 있을까요.,ドラマ制作企画から見させてもらえますか。
드라마 기획서를 보내주시면 검토해보겠습니다.,ドラマの企画書を送っていただければ検討させていただきます。
뭐 하실 말씀 있으세요?,何かおっしゃたいことありますか?
10분 정도 되는 짧은 영상입니다.,10分程度の短い映像です。
어떤 차량을 원하세요?,どんな車をご希望ですか?
잠깐 다른 볼일 좀 보고 오겠습니다.,ちょっとほかの用事をしてきます。
경차는 인기가 좋아서 비싼데요.,軽自動車は人気があって高いんですよ。
위치 별로 단가가 다르나요.,場所ごとに単価が違うのですか。
어느 부분에서 막히시나요?,どの部分で詰まっていますか?
그러면 여기 신청서를 먼저 작성해주세요.,では、こちらの申込書を先に作成してください。
아예 없는 건 불가능하죠.,全く存在しないものは不可能です。
번역가능합니다 몇분짜리죠?,翻訳可能です、何分くらいですか。
지난번에 보내주신 메일로 넣어주세요.,先日送っていただいたメールに送ってください。
직접 보니까 어떠세요?,実際に見てみてどうですか?
금요일 시간 괜찮네요.,金曜日は都合がいいです。
주소 가르쳐주시면 찾아가겠습니다.,住所を教えていただければお伺いします。
옵션을 알려주시면 가격 안내해드릴게요.,オプションを教えていただければ、価格のご案内をします。
알겠어요 안녕히 가십시오.,わかりました、さようなら。
주소는 문자로 보내드릴게요.,住所はメールで送りいたします。
수량은 몇개로 해드릴까요?,数量はいくつにいたしましょうか?
신박한 아이디어네요.,斬新なアイデアですね。
"핑크색, 하늘색, 노랑색, 보라색이 있습니다.",ピンク、水色、黄色、紫があります。
그래도 한국에서 제작되는 드라마이기 때문에 신선하다고 생각됩니다.,それでも韓国で製作されるドラマなので新鮮だと思います。
두 모델 가격차이는 얼마나 되나요?,二つのモデルの値段差はどれくらいですか?
2만원 차입니다.,2万ウォンの違いです。
그 기능외 코로나 바이러스를 막아주나요?,その機能以外に新型コロナウイルスを防いでくれるのですか?
업데이트에 무슨 문제있으세요?,アップデートに何か問題がありますか?
취업 상담을 해주는 어플리케이션입니다.,就職の相談に乗ってくれるアプリケーションです。
흠집이 많이 보이네요.,キズがたくさん見られますね。
suv 차종에 들어갑니다.,SUVの車種に入ります。
그럼 100개로 주문할게요.,じゃあ、100個で注文します。
이름은 아무개입니다.,名前は○○です。
대체 얼마나 기다려야되는거죠?,一体どれくらい待たなければならないのですか?
100개 제작이 될까요?,100個の製作はできますか?
특별히 원하시는 모델이 있나요?,特にご希望のモデルはございますか?
어떻게 됐어요?,どうなりましたか?
이게 그상품입니까?,これがその商品ですか?
그러면 이메일로 자세한 설명서 첨부드리겠습니다.,では、メールで詳しい説明書を添付します。
확인하시려면 얼마나 걸릴까요?,確認するのにどのくらいの時間がかかりますか。
언제쯤 준비가 될까요?,いつ頃に用意できるのでしょうか?
그럼 다음에 연락 드리겠습니다~,ではまた今度ご連絡いたします~
이번달까지 제출해주세요.,今月までに提出してください。
보내주신 메일 먼저 확인하고 진행하겠습니다.,送っていただいたメール先に確認してから進行いたします。
앱 디자인을 어떻게 수정하고 싶으신가요?,アプリのデザインをどのように修正したいですか?
블랙앤 화이트로 구성할까요?,ブラックとホワイトで構成しましょうか?
의자가 편안하니 좋네요.,椅子が楽でいいですね。
근데 제가 웹캠이 없는데 괜찮나요?,でも、私はウェブカメラを持っていないのですが、大丈夫ですか?
그럼 미리 말씀을 해주셨어야죠.,では、事前におっしゃってくださるべきでした。
오늘은 일정이 다 잡혀있어서 곤란할거같습니다.,今日は予定が詰まっていて困りそうです。
그럼 내일은 가능한거죠?,では、明日にはできますよね?
음식을 언제 주문하셨죠?,料理はいつ注文しましたか。
잘 받으시는데 이정도 입니까?,高く評価したのが、これくらいですか?
그런가요 그럼 소속사를 옮겨야 하겠네.,そうですか、じゃあ所属事務所を移さないとね。
저 인턴 아니고 사장이라구요.,私、インターンじゃなくて社長なんですよ。
무슨 이유로 변경하시려는 건가요?,どのような理由で変更されるのですか?
지금 작성해서 보내드릴게요.,いま作成してお送りします。
그럼 제대로 미팅날짜 잡으시죠.,では、きちんと打ち合わせの日時を決めましょう。
무슨대출을 원하세요.,どのようなローンをお求めですか。
저희는 신인은 투입하지 않습니다.,私たちは新人は投入しません。
무슨 일 때문이시죠?,どうされましたか?
바로 확인 되었고 1억 가능합니다.,すぐに確認されて、1億可能です。
네네 메일로 보내주세요.,はいはい、メールで送ってください。
그날은 제가 코로나 백신을 맞아야 해서요.,その日は私がコロナワクチンを打たなければなりませんので。
그럼 사진 많이 찟자.,では、写真をたくさん撮ろう。
그럼 즐거운 하루 보내세요.,では、楽しい一日を。
다양하게 찍어봅시다.,いろいろ撮ってみましょう。
돈까스 좋아하는데 기대되네요.,豚カツが好きなので、楽しみです。
엔진에 들어가는 부품인데요.,エンジンに入る部品ですが。
어떤 의뢰인지 말해주세요.,どんな依頼なのか教えてください。
그럼 촬영일에 뵐게요.,では撮影日にお会いしましょう。
저녁에는 약속이 있어서 불가능 할 것 같습니다.,夕方には予定があるので、できそうにありません。
가능합니다 두대면 되나요.,できます、2体でよろしいでしょうか。
여기 팜플랫부터 한번 보시겠어요?,こちらのパンフレットからご覧になりますか?
당연히 봐도 괜찮습니다.,もちろん、見てもかまいません。
정확히는 잘모르겠습니다.,正確にはよくわかりません。
불편을 끼쳐드려서 정말 죄송합니다.,ご不便をおかけして大変申し訳ございません。
100개로 제작주문하겠습니다.,百個でオーダーメイドします。
일단 한 번 볼까요.,一度、見てみましょう。
그리고 색상 톤이 조금 다르게 나올 수도 있습니다.,また、色調が多少異なる場合があります。
바로 보내겠습니다 확인해주세요.,すぐに送ります、確認してください。
확인되었습니다 돈을 내셔야해요.,確認されました、お金を払わなければなりません。
배당율은 어느정도 인가요?,配当率はどれくらいですか?
메일로 전달드릴게요.,メールでお伝えします。
한시간 안에 해결됩니다.,一時間内に解決できます。
원하시는 디자인 견본을 제 메일로 발송해 주시겠어요?,ご希望のデザイン見本を私のメールに送っていただけますか?
이거 괜찮은 것 같은데요.,これ大丈夫みたいですけど。
30분 후에 재접속해주세요.,三十分後に再接続してください。
그럼요 된답니다.,もちろんですよ、できます。
다행이네요 다음에 뵙죠.,よかったです、また会いましょう。
어떻게 천천히 하겠어요.,どのようにゆっくりやっていきます。
여기 사업자 등록증과 다른 서류들 입니다.,こちら事業主の証明書とその他の書類です。
그럼 저희 메일로 관련정보 보내주세요.,それではこちらのメールに関連情報を送ってください。
조만간 식사 한 번 같이 하시죠.,近いうちに食事でもご一緒しましょう。
좋은 생각이네요 참.,いい考えですね、本当に。
suv 화이트차량 이요.,suvホワイト車両です。
준비 다 해놨어요.,準備しておきました。
작성할게 엄청 많네요.,作成するものがとても多いですね。
음악은 들어봐야겠죠?,音楽は聞いてみないとですね?
제가 담당자와 지금 연결해 드릴게요.,私が担当者に今お繋ぎします。
그럼 월요일에 제품 받아보세요.,では、月曜日に商品を受け取ってみてください
현금이라고 더 할인되지는 않아요.,現金だからといって、さらに割引されることはありません。
그럼 오후 5시에 뵙겠습니다.,では、午後5時にお目にかかります。
한국 최초의 SF드라마입니다.,韓国初のSFドラマです。
메일 주소 문자로 보낼게요.,メールアドレスをメッセージで送ります。
그럼 하실 말씀 생기면 불러주세요.,では、言いたいことがあれば呼んでください。
그래요 제가 자주 깜박하네요.,そうです、私がよくうっかりしますね。
"오늘은 스케쥴이 꽉 차서요, 내일 오후는 가능합니다.",今日はスケジュールがいっぱいなので、明日の午後は可能です。
해결되는 상황이에요?,解決できる状況でしょうか。
무직자셔도 담보는 있으셔야 되요.,無職者であっても、担保は必要です。
이번 주문건의 출고일은 열흘 후 입니다.,今回の注文件の発売日は十日後です。
저희는 홍보회사가 아닙니다.,私たちは広告会社ではありません。
다음달 말까지 해주시면 돼요.,来月末までにやっていただければ大丈夫です。
맥주 수입 어떻게 되어가고 있나요?,ビールの輸入はどうなっていますか。
문의사항이 어떤 부분이신가요?,お問い合わせはどのようなことでしょうか?
있으면 말씀하세요.,何かあればおっしゃってください。
기다리겠습니다 나중에 연락줘요.,待っています、あとで連絡お願いします。
지금 이제 초반이라 아직 많이 진행은 안됐습니다.,まだ序盤なので、あまり進んでいません。
그러면 3개월 할게요.,では、3カ月にします。
기한 안에 끝내고 연락 드릴게요.,期限内に終わらせてご連絡します。
컴터가 너무 오래된 컴터라.,コンピューターが古すぎて。
어떤 제품을 만드는 곳이죠?,どんな製品を作っているところですか?
그럼 맞춤으로 하려면 사이즈를 재서 알려주세요.,では、オーダーメイドにするにはサイズを測って教えてください。
아직 만들지 않으셨군요.,まだ作ってないんですね。
그러면 저희 만나서 회의 할까요?,それでは、直接会って会議しましょうか。
